Epoch,Train Loss,Token Accuracy
772,0.9371,0.596
773,0.9193,0.601
774,0.9182,0.603
775,0.914,0.604
776,0.9161,0.604
777,0.916,0.605
778,0.9263,0.6
779,0.9182,0.602
780,0.9067,0.606
781,0.9297,0.599
782,0.9308,0.599
783,0.9108,0.604
784,0.9102,0.606
785,0.9367,0.599
786,0.9649,0.586
787,0.9265,0.598
788,0.9199,0.602
789,0.9249,0.599
790,0.9173,0.602
791,0.9146,0.604
792,0.9319,0.598
793,0.9284,0.598
794,0.9164,0.604
795,0.9416,0.594
796,0.9333,0.596
797,0.9282,0.599
798,0.9453,0.595
799,0.9558,0.591
800,0.9493,0.591
801,0.942,0.593
802,0.9319,0.597
803,0.9324,0.599
804,0.9489,0.593
805,0.966,0.589
806,0.9733,0.585
807,0.946,0.594
808,0.9483,0.593
809,0.9476,0.592
810,1.0102,0.575
811,1.191,0.527
812,1.3423,0.492
813,1.2734,0.503
814,1.1937,0.518
815,1.1437,0.529
816,1.0832,0.543
817,1.0495,0.555
818,1.0541,0.56
819,0.9864,0.576
820,0.973,0.58
821,0.979,0.579
822,0.9765,0.581
823,1.0119,0.571
824,1.1229,0.541
825,1.1107,0.543
826,1.0426,0.558
827,0.9936,0.572
828,0.972,0.579
829,0.9632,0.583
830,0.9687,0.581
831,0.9669,0.583
832,0.9541,0.587
833,0.9621,0.585
834,0.9769,0.582
835,0.9872,0.578
836,0.9833,0.58
837,0.9665,0.584
838,0.9682,0.584
839,0.962,0.586
840,0.9598,0.588
841,0.9903,0.579
842,0.9979,0.576
843,0.9819,0.579
844,0.9672,0.583
845,0.9729,0.582
846,0.9671,0.586
847,0.972,0.582
848,0.9861,0.58
849,0.9708,0.584
850,1.0473,0.563
851,1.5781,0.466
852,1.8287,0.437
853,1.8586,0.439
854,2.0988,0.432
855,1.8327,0.446
856,1.9677,0.444
857,1.9391,0.44
858,1.949,0.445
859,1.6543,0.462
860,1.4473,0.471
861,1.4025,0.477
862,1.3568,0.483
863,1.3344,0.487
864,1.3744,0.49
865,1.3078,0.494
866,1.2848,0.503
867,1.2901,0.506
868,1.344,0.506
869,1.2798,0.519
870,1.1587,0.526
871,1.1368,0.53
872,1.1546,0.527
873,1.2274,0.523
874,1.1507,0.529
875,1.137,0.532
876,1.1211,0.537
877,1.0617,0.55
878,1.0453,0.556
879,1.0107,0.567
880,0.9839,0.575
881,0.9835,0.576
882,0.9746,0.58
883,0.9883,0.575
